,fecha_apertura,edad,sexo,Casos Confirmados
0,2020,1.0,F,2361
1,2020,1.0,M,2586
3,2020,2.0,F,2599
4,2020,2.0,M,2917
6,2020,3.0,F,2057
7,2020,3.0,M,2227
9,2020,4.0,F,1780
10,2020,4.0,M,1893
12,2020,5.0,F,1768
13,2020,5.0,M,1945
15,2020,6.0,F,1949
16,2020,6.0,M,2055
18,2020,7.0,F,1989
19,2020,7.0,M,2203
21,2020,8.0,F,2029
22,2020,8.0,M,2081
24,2020,9.0,F,2150
25,2020,9.0,M,2144
27,2020,10.0,F,2235
28,2020,10.0,M,2279
30,2020,11.0,F,2505
31,2020,11.0,M,2455
33,2020,12.0,F,2694
34,2020,12.0,M,2642
36,2020,13.0,F,3031
37,2020,13.0,M,2863
39,2020,14.0,F,3464
40,2020,14.0,M,3150
42,2020,15.0,F,4525
43,2020,15.0,M,3781
45,2020,16.0,F,5362
46,2020,16.0,M,4604
48,2020,17.0,F,6433
49,2020,17.0,M,5378
51,2020,18.0,F,7962
52,2020,18.0,M,6802
54,2020,19.0,F,8956
55,2020,19.0,M,7940
57,2020,20.0,F,10652
58,2020,20.0,M,9970
60,2020,21.0,F,12490
61,2020,21.0,M,11716
63,2020,22.0,F,13369
64,2020,22.0,M,13059
66,2020,23.0,F,14825
67,2020,23.0,M,14627
69,2020,24.0,F,16457
70,2020,24.0,M,16205
72,2020,25.0,F,17974
73,2020,25.0,M,17801
75,2020,26.0,F,18816
76,2020,26.0,M,18611
78,2020,27.0,F,19222
79,2020,27.0,M,19010
81,2020,28.0,F,19655
82,2020,28.0,M,19907
84,2020,29.0,F,21250
85,2020,29.0,M,21051
87,2020,30.0,F,21387
88,2020,30.0,M,21540
90,2020,31.0,F,20073
91,2020,31.0,M,20581
93,2020,32.0,F,20053
94,2020,32.0,M,20505
96,2020,33.0,F,19784
97,2020,33.0,M,20753
99,2020,34.0,F,19592
100,2020,34.0,M,20564
102,2020,35.0,F,19629
103,2020,35.0,M,19941
105,2020,36.0,F,18015
106,2020,36.0,M,19139
108,2020,37.0,F,17879
109,2020,37.0,M,19082
111,2020,38.0,F,17847
112,2020,38.0,M,18857
114,2020,39.0,F,18703
115,2020,39.0,M,19353
117,2020,40.0,F,17935
118,2020,40.0,M,18833
120,2020,41.0,F,18150
121,2020,41.0,M,19141
123,2020,42.0,F,17680
124,2020,42.0,M,18246
126,2020,43.0,F,16898
127,2020,43.0,M,17617
129,2020,44.0,F,16570
